_row_excel,siat_finalidade_descricao,siat_area_terreno,crawler_area_terreno,__area_total_lote_efetiva,__regra_area_lote
86641,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,9093.0,105.53,105.53,área da unidade negociada em condomínio
86649,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,9093.0,105.53,105.53,área da unidade negociada em condomínio
86731,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,139122.0,330.0,330.0,área da unidade negociada em condomínio
87307,TERRENO EM CONDOMINIO HORIZONTAL ABERTO,5069.64,112.11,112.11,área da unidade negociada em condomínio
87309,TERRENO EM CONDOMINIO HORIZONTAL ABERTO,5069.64,112.11,112.11,área da unidade negociada em condomínio
89608,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,44454.0,203.41,203.41,área da unidade negociada em condomínio
90930,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,576.71,576.71,área da unidade negociada em condomínio
90992,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,34403.35,232.38,232.38,área da unidade negociada em condomínio
91346,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,487200.89,720.17,720.17,área da unidade negociada em condomínio
91457,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,14921.05,217.88,217.88,área da unidade negociada em condomínio
92085,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,487200.89,508.85,508.85,área da unidade negociada em condomínio
93313,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,865201.8,552.18,552.18,área da unidade negociada em condomínio
93730,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,44454.0,203.41,203.41,área da unidade negociada em condomínio
94173,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,19948.88,273.18,273.18,área da unidade negociada em condomínio
94177,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,14921.05,262.18,262.18,área da unidade negociada em condomínio
94262,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,19948.88,218.54,218.54,área da unidade negociada em condomínio
94848,TERRENOS CONDOMINIO HORIZ ABERTO SEM AREA USO COMUM,1374.22,126.19,126.19,área da unidade negociada em condomínio
95118,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,34403.35,288.19,288.19,área da unidade negociada em condomínio
95498,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,487200.89,489.27,489.27,área da unidade negociada em condomínio
95777,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,44454.0,286.63,286.63,área da unidade negociada em condomínio
95808,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,44454.0,286.63,286.63,área da unidade negociada em condomínio
96077,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,18544.69,196.0,196.0,área da unidade negociada em condomínio
96172,TERRENO EM CONDOMINIO HORIZONTAL FECHADO,44454.0,204.77,204.77,área da unidade negociada em condomínio
