finalidade,config,estrato,grupo,n,mdape,mape,p90_ape,median_ratio,cod,prd,mean_abs_log,rmse,score,prb
COBERTURA,f450_w0.25_k5-5_e4,periodo_ou_espaco,validacao_1,90,0.25178457588425496,0.3673589641247326,0.6539760964961763,0.9013794852395971,39.42949880600376,1.1930281396377844,0.32711951259661687,615722.7804672553,0.5658550885558989,-0.019916821988369793
COBERTURA,f450_w0.25_k5-5_e4,periodo_ou_espaco,validacao_2,90,0.30124440808175956,0.4748848020787449,1.032827452006926,0.9987971209977817,47.545671898247235,1.2354708382975033,0.4031764589070207,446249.94942694734,0.6283685116782269,-0.1799683980224966
COBERTURA,f450_w0.25_k5-5_e4,periodo_ou_espaco,validacao_3,90,0.2548066600634559,0.4376180317894071,1.1236031660120844,1.0318547154528046,42.220120426827314,1.153575195705537,0.34105034445398713,491988.8743379325,0.5337125771331369,-0.09593468620703176
COBERTURA,f900_w0.25_k5-15_e5,periodo_ou_espaco,validacao_1,90,0.24783400623869606,0.36420034907014204,0.668781888996283,0.882343286729778,40.12923102685791,1.1998728348932957,0.3263520645952069,655746.893443617,0.5803699746506039,-0.025065937159121757
COBERTURA,f900_w0.25_k5-15_e5,periodo_ou_espaco,validacao_2,90,0.2943515404625289,0.48218178832656644,1.1186909133830198,1.0110763284269972,47.68994929163564,1.235980615144313,0.3972369389090329,446987.30909438996,0.6279018673933074,-0.18229522878539572
COBERTURA,f900_w0.25_k5-15_e5,periodo_ou_espaco,validacao_3,90,0.23086718357367192,0.4257577130952653,1.1630984236359756,0.9972978977686219,42.69112709932166,1.1632913053816973,0.3361260186891067,452145.84608795546,0.5198333760443474,-0.11524016558276275
COBERTURA,baseline,decil_valor,1,8,0.35349555140716576,0.6559034475577168,1.6025562713320383,1.3392154032111003,45.341218254621964,1.059797945877402,0.44249979582332366,187688.23344938862,0.7309339391322633,2.111066308344259
COBERTURA,baseline,decil_valor,2,7,0.1770213926697749,0.2953924145250034,0.6184270104007306,1.162005831702999,19.594193005194676,1.003142014850638,0.25061277276069777,111119.993329963,0.37624063833952026,1.3999689828440849
COBERTURA,baseline,decil_valor,3,8,0.39114855699030315,0.43799200390369075,0.6597317646956804,1.391148556990303,10.354578148768496,1.002022990435028,0.35295459041137256,174640.99697183282,0.5449163622248506,0.9132928318030129
COBERTURA,baseline,decil_valor,4,7,0.10070339682060525,0.6219486488490427,1.6849519710946823,1.0289201842921347,60.04520111297121,1.015502233542483,0.323216715557069,540382.8818633232,0.4952763128618897,2.429434983003469
COBERTURA,baseline,decil_valor,5,8,0.11656378861011918,0.12274333313666762,0.20667976891358814,0.9477385824761821,12.951180357770472,0.9964541574625797,0.12323567666002927,74552.06503973232,0.1842279853414694,0.6593975477332304
COBERTURA,baseline,decil_valor,6,7,0.123956282292364,0.3064004999919944,0.6646556222335884,0.8871047973310464,29.581256139774553,1.036677704634087,0.24638921754152934,292799.02184837713,0.39824897819735383,2.214480052546378
COBERTURA,baseline,decil_valor,7,7,0.2344590073912065,0.3399488987470877,0.6526044108950093,0.834176086326008,37.91283080472207,1.0094346647225911,0.3083420849457463,368451.88364331226,0.4984747621919129,1.8354082858211132
COBERTURA,baseline,decil_valor,8,8,0.10582347227901895,0.12436405692453649,0.23285464794662328,0.9804067182017604,12.50117677574952,0.9908000027989411,0.1321460039459434,161461.4435794174,0.17791412257665945,0.6172623060218236
COBERTURA,baseline,decil_valor,9,7,0.3137830360080123,0.3491990870782513,0.6287147295928992,0.8609455086289662,36.87789152707596,1.0133755153226771,0.4084318984062084,568428.7176549777,0.5821320861599565,1.5213198366303544
COBERTURA,baseline,decil_valor,10,8,0.4051084739649722,0.4161825821211764,0.7080146318031046,0.6320105495368313,44.145271505755225,1.0512287959159403,0.5256854524361964,1315745.2082028154,0.8904531084094007,0.30999277163979183
COBERTURA,baseline,bairro,auxiliadora,4,0.4227655462029186,0.5597842396543828,0.8998905936850058,1.4227655462029185,25.64079266096922,1.1389895887861672,0.4508450345392635,495299.08773205447,0.7563190607276187,-0.05986888856819885
COBERTURA,baseline,bairro,bela vista,2,0.14595383210934948,0.14595383210934948,0.15428668157527048,0.8540461678906506,1.2196134382438768,1.0042089116560582,0.15784440427171784,260559.23232784856,0.2418784902951522,
COBERTURA,baseline,bairro,boa vista,2,0.07666409540998148,0.07666409540998148,0.09061824556943548,1.0174426876993174,7.534979251100367,1.052360661037466,0.07549288204428875,215234.08508628845,0.12849442987706786,
COBERTURA,baseline,bairro,bom fim,1,0.6970742917527806,0.6970742917527806,0.6970742917527806,1.6970742917527806,0.0,1.0,0.5289057635806957,202151.54460830637,0.7933586453710436,
COBERTURA,baseline,bairro,bom jesus,2,0.3556214229938181,0.3556214229938181,0.5453377259567281,1.2371453787036375,28.74532202241758,0.8761597279770259,0.29578786612903135,567162.4484391414,0.5401579104470818,
COBERTURA,baseline,bairro,centro historic,4,0.07568096147532183,0.08172405175668734,0.1574914977074859,0.9243190385246782,7.596132833658305,1.026997554454234,0.08825695124168678,79732.25026745386,0.15991605174523837,-0.09803991132757608
COBERTURA,baseline,bairro,chacara pedras,2,0.11430797225105988,0.11430797225105988,0.13410518754703898,0.9752534808800262,11.720847399376966,1.0149262840764306,0.11774967186514798,162729.85999106377,0.16698871272068916,
COBERTURA,baseline,bairro,cidade baixa,3,0.1770213926697749,0.7267641372123768,1.5038535982775656,0.8322906307121574,80.60417711808202,1.2088574815746413,0.47354622862790047,213560.427916929,0.8616813048414347,
COBERTURA,baseline,bairro,cristal,1,0.08537192856693099,0.08537192856693099,0.08537192856693099,1.085371928566931,0.0,1.0,0.08192271955883355,37563.648569449666,0.12288407933825032,
COBERTURA,baseline,bairro,cristo redentor,4,0.19310301594689588,0.23776280041782194,0.3827718417901362,1.0554013935298534,22.528187083646912,1.029346736885953,0.21800784629208783,114419.75595786881,0.31575107768373123,-0.10273523556397642
COBERTURA,baseline,bairro,floresta,2,0.6730211270464324,0.6730211270464324,1.2033350703776406,1.6730211270464324,39.62247806961572,0.9598654665159302,0.4292404028079023,519558.21952986973,0.8060931947579674,
COBERTURA,baseline,bairro,higienopolis,4,0.30294543550125086,0.27564970801090305,0.3965857462619776,0.9274414859831026,29.721520136519448,1.0361705629893034,0.2979449826895103,421032.10989074665,0.4276774534087231,0.07918530066893945
COBERTURA,baseline,bairro,independencia,2,0.2075754314112,0.2075754314112,0.2796036473811689,1.0900352699624611,19.043001371721534,1.0603545046331733,0.19278332566512263,131450.9031702962,0.3127975011076272,
COBERTURA,baseline,bairro,jar sao pedro,1,0.22330777114515576,0.22330777114515576,0.22330777114515576,0.7766922288548442,0.0,1.0,0.2527111089434705,60293.098209192045,0.37906666341520573,
COBERTURA,baseline,bairro,jardim botanico,1,0.06453318127520014,0.06453318127520014,0.06453318127520014,1.0645331812752001,0.0,1.0,0.06253637562670766,38074.57695236814,0.0938045634400615,
COBERTURA,baseline,bairro,jardim do salso,1,0.5659954894993637,0.5659954894993637,0.5659954894993637,1.5659954894993637,0.0,1.0,0.4485217172958578,181118.5566397964,0.6727825759437868,
COBERTURA,baseline,bairro,jardim itu,2,0.12673312829785893,0.12673312829785893,0.1501231905409726,1.029237577803892,12.313301712931269,1.0549577474728065,0.12376104388666875,60805.28302811071,0.19570381254872043,
COBERTURA,baseline,bairro,medianeira,1,0.941079337209046,0.941079337209046,0.941079337209046,1.941079337209046,0.0,1.0,0.6632441777508401,329016.39355767786,0.9948662666262602,
COBERTURA,baseline,bairro,menino deus,2,0.2978551801667972,0.2978551801667972,0.38185180903035604,0.7021448198332028,14.953579819102089,1.050591878070246,0.3649229760004996,440416.53993909206,0.6037915750122345,
COBERTURA,baseline,bairro,moinhos vento,6,0.612601097867541,0.5833951500032241,1.1008821145853196,0.7080048971702991,78.94394429556824,1.6665291209120117,0.6871461514639082,1352059.2749760414,1.3125296928592074,-0.8495930777512145
COBERTURA,baseline,bairro,mont serrat,1,0.3331279346800917,0.3331279346800917,0.3331279346800917,0.6668720653199083,0.0,1.0,0.40515705758073817,1195929.2855015295,0.6077355863711073,
COBERTURA,baseline,bairro,partenon,2,0.29354641846602936,0.29354641846602936,0.3725855734364327,1.2935464184660295,7.637835202710884,0.9856333866836273,0.2544622405036373,114186.00996427692,0.4094860386317286,
COBERTURA,baseline,bairro,passo da areia,3,0.1620058317029991,0.2528614553470428,0.4193478316759405,1.162005831702999,17.113469314917367,1.0895674566872087,0.22148918876513343,86658.291355301,0.38223709497781233,
COBERTURA,baseline,bairro,petropolis,7,0.2893402330724082,0.6935675510038948,1.6313163190219562,1.0289201842921347,67.00578982025989,1.2197339675880934,0.41922709721960644,574159.8640009965,0.7003129033555837,1.0278437895337584
COBERTURA,baseline,bairro,rio branco,2,0.3660280303048883,0.3660280303048883,0.5045289929557967,1.3660280303048884,12.673693326409625,1.0769973736938399,0.30381095773527156,210936.57080079245,0.5285373113310956,
COBERTURA,baseline,bairro,santa cecilia,1,0.00665347430143548,0.00665347430143548,0.00665347430143548,1.0066534743014355,0.0,1.0,0.006631437634223309,5189.709955119761,0.009947156451334963,
COBERTURA,baseline,bairro,santana,2,0.414797444763372,0.414797444763372,0.6660726831175854,1.3140940479427667,31.565278407032082,0.8365371980058913,0.3268114103642904,876649.845543764,0.6315404974796937,
COBERTURA,baseline,bairro,santo antonio,1,0.2322550772494968,0.2322550772494968,0.2322550772494968,0.7677449227505032,0.0,1.0,0.2642977328377409,192771.7141170823,0.3964465992566113,
COBERTURA,baseline,bairro,sarandi,2,0.4987600796719582,0.4987600796719582,0.8183854396488978,1.3995316999711744,35.63764076813915,1.0718612451003442,0.3727289727581266,114974.79155734267,0.6645902243651728,
COBERTURA,baseline,bairro,tres figueiras,1,0.06823028143577181,0.06823028143577181,0.06823028143577181,0.9317697185642282,0.0,1.0,0.07066957791219261,21697.229496575426,0.10600436686828892,
COBERTURA,baseline,bairro,tristeza,4,0.12021348049171154,0.1434278944172877,0.29339962766444694,0.8878214736205375,15.749172401233217,1.0149358222564187,0.16742450474019782,172244.23292967878,0.2737024260496071,-0.021029048790131545
COBERTURA,baseline,bairro,vila sao jose,1,0.24144890851258283,0.24144890851258283,0.24144890851258283,1.2414489085125828,0.0,1.0,0.21627917208873362,67605.6943835232,0.32441875813310045,
COBERTURA,baseline,bairro,vl joao pessoa,1,0.3592889203234171,0.3592889203234171,0.3592889203234171,1.359288920323417,0.0,1.0,0.3069617103094525,122158.23290996178,0.4604425654641788,
COBERTURA,baseline,tile,-3336|-4924,1,0.8982917796431327,0.8982917796431327,0.8982917796431327,1.8982917796431327,0.0,1.0,0.6409544184268198,160515.09336851444,0.9614316276402297,
COBERTURA,baseline,tile,-3337|-4925,1,0.09922837970078369,0.09922837970078369,0.09922837970078369,0.9007716202992163,0.0,1.0,0.10450352708943343,25948.221291754948,0.15675529063415014,
COBERTURA,baseline,tile,-3337|-4927,1,0.4501936368474382,0.4501936368474382,0.4501936368474382,1.4501936368474382,0.0,1.0,0.3716970901698623,189081.32747592404,0.5575456352547934,
COBERTURA,baseline,tile,-3337|-4928,2,0.2982892671690647,0.2982892671690647,0.4466045187691535,1.185394064500111,25.16372201465808,1.125921690837856,0.25715994460049724,100016.8695779747,0.46440787171836834,
COBERTURA,baseline,tile,-3338|-4925,2,0.12673312829785893,0.12673312829785893,0.1501231905409726,1.029237577803892,12.313301712931269,1.0549577474728065,0.12376104388666875,60805.28302811071,0.19570381254872043,
COBERTURA,baseline,tile,-3338|-4926,1,0.11465153293005781,0.11465153293005781,0.11465153293005781,0.8853484670699422,0.0,1.0,0.12177396337101913,56179.25113572832,0.1826609450565287,
COBERTURA,baseline,tile,-3338|-4927,2,0.19310301594689588,0.19310301594689588,0.21898405918119096,1.032351304042869,18.7051651110112,1.0440016464980633,0.1892801658137349,82035.5580087201,0.2734931218870673,
COBERTURA,baseline,tile,-3338|-4928,2,0.19265680142407743,0.19265680142407743,0.2171775772009401,0.9693490302789216,19.874863996990037,0.9864785333202141,0.2014293930189381,55486.42930108578,0.2734886779025461,
COBERTURA,baseline,tile,-3338|-4930,4,0.30294543550125086,0.2877030477410445,0.4303350975063738,1.2303869214843535,19.752490360442213,1.0054009388352065,0.26100142101737067,274019.5503663826,0.4167401950677608,0.01778990787579618
COBERTURA,baseline,tile,-3338|-4931,2,0.6730211270464324,0.6730211270464324,1.2033350703776406,1.6730211270464324,39.62247806961572,0.9598654665159302,0.4292404028079023,519558.21952986973,0.8060931947579674,
COBERTURA,baseline,tile,-3339|-4929,3,0.09410678310929899,0.18689805750122054,0.3447141419688187,0.940778592289336,17.768005100707406,0.9888772260953446,0.2247213347958903,421725.0768769346,0.30525762324516315,
COBERTURA,baseline,tile,-3339|-4930,1,1.0903097021481805,1.0903097021481805,1.0903097021481805,2.0903097021481805,0.0,1.0,0.7373122378447455,850441.5676755807,1.1059683567671184,
COBERTURA,baseline,tile,-3339|-4931,7,0.5425655742990176,0.5945198531615989,1.020519172808617,0.6967038359364861,77.41542287317245,1.687759964948909,0.6830054923045491,1264533.304332852,1.318942577636653,-0.7852148638103911
COBERTURA,baseline,tile,-3339|-4932,1,0.03197984375323926,0.03197984375323926,0.03197984375323926,0.9680201562467607,0.0,1.0,0.032502369353379,30476.791096837027,0.04875355403006851,
COBERTURA,baseline,tile,-3340|-4927,1,0.13905449137103376,0.13905449137103376,0.13905449137103376,0.8609455086289662,0.0,1.0,0.14972406502530547,205800.6472291299,0.22458609753795822,
COBERTURA,baseline,tile,-3340|-4929,1,3.5370894724655457,3.5370894724655457,3.5370894724655457,4.537089472465546,0.0,1.0,1.5122857211101564,1414835.7889862184,2.2684285816652343,
COBERTURA,baseline,tile,-3340|-4930,2,0.24474891431092122,0.24474891431092122,0.31545213060625765,0.7552510856890788,11.701938870903431,1.0297051673443514,0.28759910049817977,879030.1484126389,0.47184271625664004,
COBERTURA,baseline,tile,-3340|-4931,2,0.3660280303048883,0.3660280303048883,0.5045289929557967,1.3660280303048884,12.673693326409625,1.0769973736938399,0.30381095773527156,210936.57080079245,0.5285373113310956,
