purpose,config,fold,row_excel,date,group,tile,bairro,area,actual,predicted,k,effective,floor,n_train,discount,error,razao,erro_percentual_absoluto
TERRENO,baseline,teste_reservado,161603,2026-08-14,100091399,-3352|-4931,campo novo,306.68,160000.0,415688.1386329384,12,11.94143531870224,200.0,97,0.0,,2.598050866455865,1.598050866455865
CASA / RESIDÊNCIA,baseline,teste_reservado,160013,2026-08-03,1629239,-3350|-4935,jardim isabel,272.46,262000.0,679818.1308718125,5,5.0,800.0,16815,0.1487989829969808,,2.594725690350429,1.5947256903504292
TERRENO,baseline,teste_reservado,161723,2026-08-13,5068010,-3337|-4932,navegantes,392.15,600000.0,1556528.2234832072,12,11.991513035053549,200.0,97,0.0,,2.594213705805345,1.5942137058053452
GARAGEM / VAGA NÃO RESIDENCIAL,baseline,teste_reservado,161489,2026-08-07,8576149,-3341|-4934,menino deus,11.04,11123.0,28781.28598765002,7,5.908020325115073,150.0,2612,0.2,,2.587547063530524,1.5875470635305242
TERRENO,baseline,teste_reservado,162118,2026-08-18,10141421,-3349|-4923,lomba pinheiro,234.0,110000.0,281760.35643818264,12,11.67713439143591,200.0,97,0.0,,2.5614577858016605,1.5614577858016605
APARTAMENTO,baseline,teste_reservado,167431,2026-09-22,10856048,-3343|-4933,menino deus,139.64,441549.48,1119440.378348022,15,11.812468534044957,1200.0,96700,0.2,,2.535254663527227,1.535254663527227
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,160398,2026-08-07,10701249,-3341|-4929,petropolis,10.58,12000.0,30056.33061317857,7,6.825833468875128,200.0,17117,0.0374643698062107,,2.5046942177648805,1.5046942177648805
COBERTURA,baseline,teste_reservado,164999,2026-09-03,2145944,-3339|-4931,moinhos vento,89.19,217000.0,543085.2106927371,12,11.99287358878355,900.0,1688,0.2,,2.5026968234688347,1.5026968234688347
APARTAMENTO,baseline,teste_reservado,165424,2026-09-04,5957087,-3347|-4937,vila assuncao,81.5,120000.0,299491.65274293243,25,8.969492183101185,1200.0,96700,0.2,,2.4957637728577704,1.4957637728577704
APARTAMENTO,baseline,teste_reservado,166164,2026-09-11,3974480,-3340|-4934,centro historic,26.73,50000.0,123853.34427231064,12,11.965020608336111,1200.0,96700,0.2,,2.477066885446213,1.477066885446213
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,161140,2026-08-12,5340489,-3339|-4927,vila ipiranga,12.0,15900.0,39226.577831560135,8,5.384729867645602,200.0,17117,0.0374643698062107,,2.4670803667647885,1.4670803667647885
GARAGEM / VAGA RESIDENCIAL,baseline,teste_reservado,162101,2026-08-17,9409688,-3337|-4921,rubem berta,10.58,11000.0,26999.99999579274,7,5.000000012997522,200.0,17117,0.0374643698062107,,2.454545454162976,1.454545454162976
